t	x	y	z
1352614478246	-3.0100968	2.0975335	-7.4639506
1352614478266	-2.8057916	1.5799603	-7.1915436
1352614478288	-2.73769	0.939804	-7.6546354
1352614478309	-2.7921712	0.17706452	-8.757884
1352614478326	-2.0430522	-0.3405087	-10.55577
1352614478347	-1.0215261	-0.35412905	-11.4410925
1352614478369	-0.6537767	-0.42223078	-11.155065
1352614478388	-0.7354988	-0.38136974	-10.855417
1352614478408	-1.1168685	0.027240695	-11.223166
1352614478428	-0.7354988	0.19068487	-11.509193
1352614478467	0.17706452	0.38136974	-12.571581
1352614478469	1.1168685	0.6946377	-14.423948
1352614478489	0.88532263	0.7627395	-16.180973
1352614478509	0.5720546	0.7082581	-17.134398
1352614478528	0.38136974	0.5720546	-17.774553
1352614478548	0.313268	0.4903325	-18.414711
1352614478569	-0.05448139	0.21792556	-17.897137
1352614478589	-0.35412905	-0.13620348	-16.208214
1352614478609	-0.44947147	-0.29964766	-14.505671
1352614478647	-0.040861044	-0.2860273	-13.6748295
1352614478650	0.12258313	-0.14982383	-13.279839
1352614478670	-0.040861044	-0.14982383	-12.912089
1352614478690	-0.38136974	0.013620348	-12.353656
1352614478710	-0.7763598	0.08172209	-11.686258
1352614478730	-0.9670447	0.24516626	-11.059722
1352614478751	-1.0623871	0.51757324	-10.705593
1352614478770	-1.3075534	0.7899802	-10.106298
1352614478790	-1.6889231	1.0760075	-9.697687
1352614478810	-2.2064962	1.3211738	-9.261836
1352614478830	-2.6968288	1.5527196	-8.5944395
1352614478852	-2.8875136	1.8932283	-7.6546354
1352614478872	-2.9556155	2.233737	-6.619489
1352614478893	-3.4595683	2.5606253	-5.8567495
1352614478913	-3.9362805	2.8330324	-5.407278
1352614478934	-4.1269655	3.0781987	-5.134871
1352614478954	-4.3585114	3.2825038	-4.6853995
1352614478973	-4.508335	3.4187074	-3.8954194
1352614478994	-4.6445384	3.5140498	-3.2416427
1352614479014	-5.1484914	3.4731886	-2.2882185
1352614479034	-5.7477865	3.336985	-1.6480621
1352614479055	-6.197258	3.214402	-1.3211738
1352614479075	-6.3198414	3.2416427	-0.939804
1352614479095	-6.4151835	3.336985	-0.2860273
1352614479115	-6.701211	3.3778462	0.51757324
1352614479138	-7.5456724	3.255263	1.525479
1352614479158	-8.117727	3.214402	2.669588
1352614479177	-8.349273	3.3097446	3.7728362
1352614479197	-8.076866	3.5549107	4.862464
1352614479217	-7.7772183	3.718355	5.706926
1352614479239	-7.7908387	3.7728362	6.428804
1352614479259	-8.281172	3.6774938	6.932757
1352614479279	-9.180115	3.4187074	6.782933
1352614479299	-9.302697	3.214402	7.504812
1352614479340	-7.4230895	3.8954194	7.872561
1352614479341	-6.0610547	4.440233	8.267551
1352614479359	-5.992953	4.508335	8.21307
1352614479379	-7.327747	4.113345	7.8998017
1352614479399	-8.3765135	3.7455957	7.804459
1352614479431	-8.144968	3.7319753	7.3141265
1352614479439	-7.2596455	3.8954194	6.6467295
1352614479459	-6.6331096	3.990762	5.8976107
1352614479479	-6.67397	3.990762	4.671779
1352614479499	-6.769313	3.9362805	3.214402
1352614479520	-6.9872384	3.7728362	1.920469
1352614479540	-6.932757	3.6911142	1.0215261
1352614479560	-6.4424243	3.6774938	0.313268
1352614479581	-6.1563973	3.6502533	-0.9670447
1352614479601	-6.26536	3.445948	-2.315459
1352614479621	-6.619489	3.1190596	-2.9283748
1352614479642	-6.3198414	3.050958	-2.819412
1352614479662	-5.5571017	3.2007818	-3.255263
1352614479682	-4.767122	3.3506055	-4.1542063
1352614479702	-4.6172976	3.2280223	-4.944186
1352614479722	-4.7535014	3.0237172	-4.6853995
1352614479743	-4.4129925	2.9964764	-4.7262607
1352614479762	-3.5821514	3.2007818	-5.992953
1352614479783	-3.1054392	3.405087	-7.763598
1352614479803	-3.2961242	3.445948	-8.962189
1352614479823	-3.3097446	3.2688835	-8.471856
1352614479844	-2.7649305	3.0645783	-7.3549876
1352614479864	-1.7842655	3.0237172	-8.158588
1352614479885	-1.3620348	2.901134	-9.915613
1352614479905	-1.7434045	2.547005	-11.127824
1352614479927	-2.1383946	2.0430522	-10.514909
1352614479948	-1.9068487	1.3075534	-8.689782
1352614479966	-0.8036005	0.88532263	-8.812365
1352614479986	0.3405087	0.7354988	-10.296983
1352614480007	0.05448139	0.50395286	-12.394516
1352614480027	-0.6946377	0.12258313	-13.0619135
1352614480050	-1.0623871	-0.05448139	-13.157256
1352614480068	-0.61291564	0.027240695	-13.157256
1352614480088	-0.9125633	0.3405087	-14.655494
1352614480116	-0.7354988	0.27240697	-15.568057
1352614480134	-0.23154591	0.42223078	-16.739407
1352614480148	-0.06810174	0.46309182	-17.120777
1352614480168	0.095342435	0.47671217	-16.766647
1352614480188	0.10896278	0.626536	-16.344418
1352614480208	-0.14982383	0.626536	-15.527196
1352614480252	0.05448139	0.7354988	-14.49205
1352614480252	0.12258313	0.8308412	-13.116395
1352614480294	-0.27240697	0.8036005	-12.503479
1352614480294	-0.81722087	0.84446156	-11.876944
1352614480312	-0.95342433	1.0896279	-11.127824
1352614480333	-1.0896279	1.4165162	-10.160779
1352614480354	-1.3620348	1.6753027	-9.234595
1352614480373	-1.6753027	2.0294318	-8.471856
1352614480393	-2.0430522	2.2882185	-8.063246
1352614480414	-2.5742457	2.4108016	-7.8317
1352614480434	-3.1463003	2.4789033	-7.504812
1352614480454	-3.5004294	2.4789033	-6.7965536
1352614480474	-3.8681788	2.5606253	-6.074675
1352614480495	-4.399372	2.6832085	-5.5843425
1352614480517	-4.9986677	2.669588	-5.3800373
1352614480535	-5.3800373	2.819412	-5.366417
1352614480555	-5.7205462	2.9283748	-5.325556
1352614480575	-5.9793324	3.091819	-5.0259085
1352614480596	-6.2108784	3.1599207	-4.5900574
1352614480616	-6.101916	3.3506055	-3.840938
1352614480637	-6.1700177	3.4731886	-3.1463003
1352614480657	-6.347082	3.5004294	-2.315459
1352614480678	-6.4151835	3.6093922	-1.5118586
1352614480698	-6.67397	3.718355	-0.61291564
1352614480719	-6.891896	3.7728362	0.24516626
1352614480740	-7.04172	3.8136973	0.9670447
1352614480760	-7.0280995	3.8545585	1.6208214
1352614480779	-7.0280995	3.990762	2.4789033
1352614480799	-6.9872384	4.0588636	3.3506055
1352614480819	-6.9599977	4.113345	4.344891
1352614480840	-6.9599977	4.235928	5.6660647
1352614480859	-7.0553403	4.2904096	6.8237944
1352614480880	-7.3005066	4.2223077	7.286886
1352614480902	-7.641015	3.9362805	7.600154
1352614480923	-7.940663	3.636633	8.21307
1352614480942	-7.763598	3.5821514	8.60806
1352614480962	-8.362893	3.4595683	8.471856
1352614480982	-8.076866	3.486809	7.8317
1352614481018	-7.804459	3.759216	6.864655
1352614481023	-7.8861814	3.800077	6.1700177
1352614481042	-7.872561	3.8545585	5.843129
1352614481084	-7.804459	3.8545585	5.5434813
1352614481084	-7.3822284	4.072484	5.3119354
1352614481103	-7.3141265	3.8681788	5.1893525
1352614481123	-7.4503303	3.6638734	4.862464
1352614481143	-7.3822284	3.7728362	4.1814466
1352614481163	-6.742072	4.004382	2.9147544
1352614481183	-6.0882955	4.344891	1.0623871
1352614481203	-6.033814	4.4810944	-0.7218784
1352614481224	-6.197258	4.4810944	-2.0430522
1352614481245	-6.3607025	4.440233	-2.6559677
1352614481264	-6.2789803	4.4129925	-2.7921712
1352614481284	-5.706926	4.5219555	-3.214402
1352614481304	-5.202973	4.5628166	-3.8681788
1352614481324	-5.175732	4.4129925	-4.7943625
1352614481345	-5.3527966	4.2495484	-5.3800373
